2025-03-06 22:23:35 : INFO : (10044 | DIRECTOR) : (IS | IS) : node01 : TM_6014 : Initializing session [s_m_Q10] at [Thu Mar 06 22:23:35 2025].
2025-03-06 22:23:35 : INFO : (10044 | DIRECTOR) : (IS | IS) : node01 : TM_6683 : Repository Name: [REP]
2025-03-06 22:23:35 : INFO : (10044 | DIRECTOR) : (IS | IS) : node01 : TM_6684 : Server Name: [IS]
2025-03-06 22:23:35 : INFO : (10044 | DIRECTOR) : (IS | IS) : node01 : TM_6686 : Folder: [BANKING]
2025-03-06 22:23:35 : INFO : (10044 | DIRECTOR) : (IS | IS) : node01 : TM_6685 : Workflow: [wf_Q10_BANKING] Run Instance Name: [] Run Id: [17]
2025-03-06 22:23:35 : INFO : (10044 | DIRECTOR) : (IS | IS) : node01 : TM_6992 : Operating System Type [NT]
2025-03-06 22:23:35 : INFO : (10044 | DIRECTOR) : (IS | IS) : node01 : TM_6101 : Mapping name: m_Q10.
2025-03-06 22:23:35 : INFO : (10044 | DIRECTOR) : (IS | IS) : node01 : TM_6964 : Date format for the Session is [MM/DD/YYYY HH24:MI:SS.US]
2025-03-06 22:23:35 : INFO : (10044 | DIRECTOR) : (IS | IS) : node01 : TM_6708 : Using configuration property [EnableDataEncryption,no]
2025-03-06 22:23:35 : INFO : (10044 | DIRECTOR) : (IS | IS) : node01 : TM_6708 : Using configuration property [StoreHAPersistenceInDB,no]
2025-03-06 22:23:35 : INFO : (10044 | DIRECTOR) : (IS | IS) : node01 : TM_6703 : Session [s_m_Q10] is run by 64-bit Integration Service  [node01], version [10.5.2], build [0322].
2025-03-06 22:23:35 : INFO : (10044 | MANAGER) : (IS | IS) : node01 : PETL_24091 : Thread [MANAGER] has the ID [1].
2025-03-06 22:23:35 : INFO : (10044 | MANAGER) : (IS | IS) : node01 : PETL_24058 : Running Partition Group [1].
2025-03-06 22:23:35 : INFO : (10044 | MANAGER) : (IS | IS) : node01 : PETL_24000 : Parallel Pipeline Engine initializing.
2025-03-06 22:23:35 : INFO : (10044 | MONITOR) : (IS | IS) : node01 : PETL_24091 : Thread [MONITOR] has the ID [2].
2025-03-06 22:23:35 : INFO : (10044 | MANAGER) : (IS | IS) : node01 : PETL_24001 : Parallel Pipeline Engine running.
2025-03-06 22:23:35 : INFO : (10044 | MANAGER) : (IS | IS) : node01 : PETL_24003 : Initializing session run.
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : PETL_24091 : Thread [MAPPING] has the ID [3].
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : CMN_1569 : Server Mode: [ASCII]
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : CMN_1570 : Server Code page: [MS Windows Latin 1 (ANSI), superset of Latin1]
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : TM_6151 : The session sort order is [Binary].
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : CMN_65110 : Current Timezone:[UTC +5:30]
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : CMN_65112 : Current Process ID:[10044]
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : TM_6156 : Using low precision processing.
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : TM_6180 : Deadlock retry logic will not be implemented.
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : TM_6187 : Session target-based commit interval is [10000].
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : TM_6307 : DTM error log disabled. 
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : TE_7022 : TShmWriter: Initialized
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : DBG_21694 : inner Partition [0]: Index cache size = [44739242], Data cache size = [89478484]
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : TT_11098 : The Joiner transformation [inner] is configured with the join algorithm: Nested-Loop.
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : DBG_21694 : master_outer Partition [0]: Index cache size = [44739242], Data cache size = [89478484]
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : TT_11098 : The Joiner transformation [master_outer] is configured with the join algorithm: Nested-Loop.
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : DBG_21694 : detail_outer Partition [0]: Index cache size = [44739242], Data cache size = [89478484]
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : TT_11098 : The Joiner transformation [detail_outer] is configured with the join algorithm: Nested-Loop.
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : DBG_21694 : full_join Partition [0]: Index cache size = [44739242], Data cache size = [89478484]
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : TT_11098 : The Joiner transformation [full_join] is configured with the join algorithm: Nested-Loop.
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : TM_6007 : DTM initialized successfully for session [s_m_Q10]
2025-03-06 22:23:35 : INFO : (10044 | DIRECTOR) : (IS | IS) : node01 : PETL_24033 : All DTM Connection Info: [<NONE>].
2025-03-06 22:23:35 : INFO : (10044 | MANAGER) : (IS | IS) : node01 : PETL_24004 : PETL_24004 Starting pre-session tasks. : (Thu Mar 06 22:23:35 2025)
2025-03-06 22:23:35 : INFO : (10044 | PRE-SESS) : (IS | IS) : node01 : PETL_24091 : Thread [PRE-SESS] has the ID [4].
2025-03-06 22:23:35 : INFO : (10044 | MANAGER) : (IS | IS) : node01 : PETL_24027 : PETL_24027 Pre-session task completed successfully. : (Thu Mar 06 22:23:35 2025)
2025-03-06 22:23:35 : INFO : (10044 | DIRECTOR) : (IS | IS) : node01 : PETL_24006 : Starting data movement.
2025-03-06 22:23:35 : INFO : (10044 | MAPPING) : (IS | IS) : node01 : TM_6660 : Total Buffer Pool size is 4052160 bytes and Block size is 65536 bytes.
2025-03-06 22:23:35 : INFO : (10044 | READER_1_1_1) : (IS | IS) : node01 : PETL_24091 : Thread [READER_1_1_1] has the ID [5].
2025-03-06 22:23:35 : INFO : (10044 | READER_1_1_1) : (IS | IS) : node01 : DBG_21437 : Reader: Source is a file-based source.
2025-03-06 22:23:35 : INFO : (10044 | READER_1_1_1) : (IS | IS) : node01 : FR_3118 : source [SQ_Bank_Data_file_2] code page: [MS Windows Latin 1 (ANSI), superset of Latin1]
2025-03-06 22:23:35 : INFO : (10044 | READER_1_1_1) : (IS | IS) : node01 : FR_3071 : Maximum Line sequential buffer length is 1026.
2025-03-06 22:23:35 : INFO : (10044 | READER_1_1_1) : (IS | IS) : node01 : BLKR_16003 : Initialization completed successfully.
2025-03-06 22:23:35 : INFO : (10044 | TRANSF_1_1_1) : (IS | IS) : node01 : PETL_24091 : Thread [TRANSF_1_1_1] has the ID [6].
2025-03-06 22:23:35 : INFO : (10044 | READER_1_2_1) : (IS | IS) : node01 : PETL_24091 : Thread [READER_1_2_1] has the ID [7].
2025-03-06 22:23:35 : INFO : (10044 | READER_1_2_1) : (IS | IS) : node01 : DBG_21437 : Reader: Source is a file-based source.
2025-03-06 22:23:35 : INFO : (10044 | READER_1_2_1) : (IS | IS) : node01 : FR_3118 : source [SQ_Bank_Data_file_1] code page: [MS Windows Latin 1 (ANSI), superset of Latin1]
2025-03-06 22:23:35 : INFO : (10044 | READER_1_2_1) : (IS | IS) : node01 : FR_3071 : Maximum Line sequential buffer length is 1026.
2025-03-06 22:23:35 : INFO : (10044 | READER_1_2_1) : (IS | IS) : node01 : BLKR_16003 : Initialization completed successfully.
2025-03-06 22:23:35 : INFO : (10044 | TRANSF_1_2_1) : (IS | IS) : node01 : PETL_24091 : Thread [TRANSF_1_2_1] has the ID [8].
2025-03-06 22:23:35 : INFO : (10044 | WRITER_1_*_1) : (IS | IS) : node01 : PETL_24091 : Thread [WRITER_1_*_1] has the ID [9].
2025-03-06 22:23:35 : INFO : (10044 | WRITER_1_*_1) : (IS | IS) : node01 : WRT_8124 : Target Table Target_Normal_Q10 :Writing output to: C:\Users\Administrator\Documents\Banking_HandsOnExercises\target_normal_q101.txt
